date,versailles_restaurant1_ca_ttc_base_100k,train_test_valid
2024-01-02,110.992172,train
2024-01-03,122.0502948,train
2024-01-04,91.75253259,train
2024-01-05,200.4097968,train
2024-01-06,546.9474566,train
2024-01-08,130.7735099,train
2024-01-09,137.5914404,train
2024-01-10,166.282786,train
2024-01-11,231.3501256,train
2024-01-12,256.7277703,train
2024-01-13,229.6054826,train
2024-01-14,195.5718681,train
2024-01-15,181.5997805,train
2024-01-16,229.0451048,train
2024-01-17,102.6425421,train
2024-01-18,292.0128953,train
2024-01-19,441.484346,train
2024-01-20,167.5716551,train
2024-01-21,214.7181112,train
2024-01-22,135.7608727,train
2024-01-23,183.2248762,train
2024-01-24,240.6449262,train
2024-01-25,231.137182,train
2024-01-26,212.1216938,train
2024-01-27,196.8046994,train
2024-01-28,253.2721069,train
2024-01-29,147.2486186,train
2024-01-30,211.8415049,train
2024-01-31,139.0484228,train
2024-02-01,202.2403645,train
2024-02-02,235.134544,train
2024-02-03,189.1088436,train
2024-02-04,227.774915,train
2024-02-05,222.1524573,train
2024-02-06,185.8026143,train
2024-02-07,172.204112,train
2024-02-08,275.276277,train
2024-02-09,240.0658691,train
2024-02-10,459.7153053,train
2024-02-11,203.921498,train
2024-02-12,177.6958148,train
2024-02-13,183.2435555,train
2024-02-14,247.7430455,train
2024-02-15,295.2444076,train
2024-02-16,205.6026315,train
2024-02-17,129.4472823,train
2024-02-18,246.5475728,train
2024-02-19,100.8119744,train
2024-02-20,148.0331475,train
2024-02-21,164.1159917,train
2024-02-22,87.21347204,train
2024-02-23,158.7176851,train
2024-02-24,132.3238886,train
2024-02-25,192.7699789,train
2024-02-26,150.0131493,train
2024-02-27,191.0514868,train
2024-02-28,214.3071674,train
2024-02-29,283.3083595,train
2024-03-01,233.2852971,train
2024-03-02,150.3120175,train
2024-03-03,602.6303352,train
2024-03-04,0,train
2024-03-05,205.1730085,train
2024-03-06,214.3445259,train
2024-03-07,489.7702371,train
2024-03-08,243.8951177,train
2024-03-09,220.2284933,train
2024-03-10,317.0244265,train
2024-03-11,173.9039248,train
2024-03-12,148.7429595,train
2024-03-13,191.4997891,train
2024-03-14,311.9810259,train
2024-03-15,245.1653074,train
2024-03-16,177.6024185,train
2024-03-17,273.987408,train
2024-03-18,248.919839,train
2024-03-19,270.344952,train
2024-03-20,260.6877738,train
2024-03-21,299.9702607,train
2024-03-22,349.769172,train
2024-03-23,200.1856457,train
2024-03-24,272.4743878,train
2024-03-25,267.916648,train
2024-03-26,265.1707965,train
2024-03-27,293.8995008,train
